"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Buestán Andrade P.A.; Carrión Zamora P.E.; Chamba Lara A.E.; Pazmiño Piedra J.P.","Buestán Andrade, Pablo Andrés (57320172200); Carrión Zamora, Pedro Esteban (59548502300); Chamba Lara, Anthony Eduardo (59547166500); Pazmiño Piedra, Juan Pablo (58624050900)","57320172200; 59548502300; 59547166500; 58624050900","A comprehensive evaluation of ai techniques for air quality index prediction: RNNs and transformers; [Una evaluación integral de las técnicas de ia para predecir el índice de calidad del aire: RNN y transformers]","2025","Ingenius","2025","33","","60","75","15","0","10.17163/ings.n33.2025.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217262509&doi=10.17163%2fings.n33.2025.06&partnerID=40&md5=6ef806a8a5e10b72d61ed9007daaa977","This study evaluates the effectiveness of Recurrent Neural Networks (RNNs) and Transformer-based models in predicting the Air Quality Index (AQI). Ac-curate AQI prediction is critical for mitigating the significant health impacts of air pollution and plays a vital role in public health protection and environmental management. The research compares traditional RNN models, including Long Short-Term Memory (LSTM) and Gated Recurrent Unit (GRU) networks, with advanced Transformer architectures. Data were collected from a weather station in Cuenca, Ecuador, focusing on key pollutants such as CO, NO2, O3, PM2.5, and SO2. Model performance was assessed using Root Mean Square Error (RMSE), Mean Absolute Error (MAE), and the Coefficient of Determination (R2). The findings reveal that the LSTM model achieved superior performance, with an R2 of 0.701, an RMSE of 0.087, and an MAE of 0.056, demonstrating superior capability in capturing temporal dependencies within complex datasets. Conversely, while Transformer-based models exhibited potential, they were less effective in handling intricate time-series data, resulting in comparatively lower accuracy. These results position the LSTM model as the most reliable approach for AQI prediction, offering an optimal balance between predictive accuracy and computational efficiency. This research contributes to improving AQI forecasting and underscores the importance of timely interventions to mitigate the harmful effects of air pollution. © 2025, Universidad Politecnica Salesiana. All rights reserved.","Air Quality Index; LSTM; Pollution Forecasting; RNN; Trans-formers","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217262509"
"Barbecho-Jimbo E.; Vallejo-Ramírez D.; Cobos-Torres J.-C.; Angulo C.; Flores-Vázquez C.","Barbecho-Jimbo, Edisson (58117281800); Vallejo-Ramírez, David (57929667200); Cobos-Torres, Juan-Carlos (57196319620); Angulo, Cecilio (23090235000); Flores-Vázquez, Carlos (58204845600)","58117281800; 57929667200; 57196319620; 23090235000; 58204845600","Remote Operation of CeCi Social Robot","2023","Robotics","12","1","19","","","","1","10.3390/robotics12010019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148910756&doi=10.3390%2frobotics12010019&partnerID=40&md5=87a3f75c32432aa0da06f259f21549c1","This paper presents a validation methodology for a remote system with its objective focused on a social robot. The research process starts with the customization of an application for smartphones, achieving a simple method of connection and attachment to the robot. This customization allows remote operation of the robot’s movements and an additional level of autonomy for the displacements in previously known locations. One of several teleoperations methods is the direct teleoperations method, which is used in master–slave control mode via a wireless network. Next, the article focuses on proposing a validation methodology for social robot applications design. Under this approach, two tests are performed to validate the designed application. The first one seeks to find the response speed of the communication between the robot and the mobile device wherein 10 devices with different characteristics and capabilities are used. This test is critical since a delay outside the allowable range invalidates the use of the application. The second test measures the application’s usability through a user survey, which allows for determining the preferences that people may have when using this type of application. This second test is essential to consider the overall acceptability of the social robot. © 2023 by the authors.","android; mobile robot; remote control; remote operation; ROS; social robot","","IKTPLUS-ICT, (321324); Lighting Laboratory; Norges Forskningsråd","This research received funding from the Lighting Laboratory at the Center for Research, Innovation and Technology Transfer CIITT of Universidad Católica de Cuenca. Prof. Cecilio Angulo has been partly supported by the Research Council of Norway, IKTPLUS-ICT, and digital innovation program, under grant agreement No. 321324 (SecuRoPS-User-centred Security Framework for Social Robots in Public Space).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148910756"
"Astudillo J.; Garate J.C.; Calle R.A.; Icaza D.","Astudillo, Joseline (57885607400); Garate, Juan Carlos (57190755615); Calle, Rolando Andrade (57821357400); Icaza, Daniel (57193059185)","57885607400; 57190755615; 57821357400; 57193059185","Analysis of the Stress in the Anchors of Floating Wind Turbines in the Open Sea","2022","10th International Conference on Smart Grid, icSmartGrid 2022","","","","461","466","5","1","10.1109/icSmartGrid55722.2022.9848685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137834567&doi=10.1109%2ficSmartGrid55722.2022.9848685&partnerID=40&md5=1690aa33448aa7c67209340543bfcc2e","In this research, the bending stresses produced in the anchors of offshore wind turbines and their maximum rupture limits are analyzed. The aim is to avoid reaching these maximum limits and to guarantee the correct operation of electricity production systems through wind turbines in the open sea as an interesting option in energy transition processes. The transient behavior of the wind turbine structure is improved, as long as the fixings of the anchor points are guaranteed and the position of the wind turbine is vertical as far as possible. In reality, waves produce tension fluctuations in the mooring lines, which means that the wind input is not as constant at the level of the blades. However, this fluctuation is significantly reduced thanks to the hydrodynamic damping, it is there where the anchor points play a transcendental role and guarantee the stability of the turbine.  © 2022 IEEE.","floating wind turbine; marine energy; Renewable energy; stress; wind power","Anchors; Mooring; Mooring cables; Offshore oil well production; Offshore wind turbines; Anchor point; Bending stress; Electricity production; Energy transitions; Floating wind turbines; Marine energy; Production system; Renewable energies; Transient behavior; Transition process; Wind power","","","Conference paper","Final","","Scopus","2-s2.0-85137834567"
"Vidal-Espinosa P.-S.; Alvarez-Vera M.; Cárdenas A.; Cobos-Torres J.-C.","Vidal-Espinosa, Paulina-Soledad (58220310700); Alvarez-Vera, Manuel (57215608244); Cárdenas, Andrés (57207770212); Cobos-Torres, Juan-Carlos (57196319620)","58220310700; 57215608244; 57207770212; 57196319620","Beneficial Microorganisms in the Anaerobic Digestion of Cattle and Swine Excreta","2023","Sustainability (Switzerland)","15","8","6482","","","","0","10.3390/su15086482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156120046&doi=10.3390%2fsu15086482&partnerID=40&md5=9e8243605411da54c7c10c46a1d7ec33","The accumulation of solid organic waste is reaching critical levels in almost all regions of the world. It must be managed sustainably to avoid the depletion of natural resources, minimize risks to human health, reduce environmental burdens, and maintain an overall balance in the ecosystem. This research focuses on the anaerobic digestion of bovine and swine excreta with and without applying beneficial microorganisms as a viable option for recycling agricultural solid wastes. Three greenhouse gases (GHGs)—methane, carbon dioxide, and ammonia—produced by cattle and swine excreta that were treated with and without beneficial microorganisms in bioreactors were quantified. A monitoring and gas concentration measurement system was implemented inside the bioreactors. The behavior of the GHGs and the efficiency of the beneficial microorganisms in treating the farm animal waste were analyzed according to the phases of anaerobic digestion. Average reductions in the concentration in units of ppm of CH4 during the composting process of 46.95% and 34.48% were observed for the cattle and swine excreta treatments, respectively. It was concluded that the studied GHGs had different behaviors in the anaerobic digestion of the treatments in cattle and swine excreta with and without beneficial microorganisms due to the different types of feeding. However, it must be emphasized that beneficial microorganisms are an essential tool for reducing GHGs in anaerobic digestion. © 2023 by the authors.","anaerobic digestion; electrochemical and electronic sensors; excreta treatment; microbial consortium","anaerobic digestion; cattle; electrochemical method; excretion; greenhouse gas; microbial activity; pig; sensor","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85156120046"
"Carrillo Zenteno J.A.; Reyes Reinoso J.R.","Carrillo Zenteno, José Antonio (57346425100); Reyes Reinoso, Johanna Rosalí (57204457429)","57346425100; 57204457429","Access to the Information and Communication Technologies in South America in Times of COVID-19","2021","ETCM 2021 - 5th Ecuador Technical Chapters Meeting","","","","","","","0","10.1109/ETCM53643.2021.9590824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119457836&doi=10.1109%2fETCM53643.2021.9590824&partnerID=40&md5=047a826d2b4d43ea38b0e827e24ac9f6","COVID 19 pandemic caused by SARS-CoV-2, has managed to deepen and to put on evidence, the great inequalities existing between countries such as the internal social strata regarding accessibility to education and technological services that are required to have effective distance learning. Although rural areas still have precarious basic services throughout the continent, it is enough with a single non-studying child to conclude that there is no democratization of learning access and technology. The research methodology was a bibliographic review, supported on electronic means to obtain all the relevant and available information about the subject of study. The general conclusion is that regardless of the accessibility to learning that exist in our countries, the important thing is the knowledge that remains, if this is really effective, if the teacher do the class online with the available applications, and also if he has all the technological resources, to teach the class and not only to send the weekly planning of the assignment either by mail, messaging or web platforms, without an evaluation to verify that the student has learned and passed the class or subject  © 2021 IEEE.","accessibility; education; internet; platform; virtual","Diseases; E-learning; Engineering education; Bibliographic reviews; Distance-learning; Effective distance; Information and Communication Technologies; Platform; Research methodologies; South America; Teachers'; Technological resources; Virtual; SARS","","","Conference paper","Final","","Scopus","2-s2.0-85119457836"
"Romero Bastidas M.; Aguirre Ullauri M.C.; Ramírez Bustamante J.; Vargas Vallejo M.; Castillo Carchipulla E.","Romero Bastidas, Martha (57208549951); Aguirre Ullauri, María del Cisne (57204931863); Ramírez Bustamante, Johanna (57986449100); Vargas Vallejo, Michel (57986668200); Castillo Carchipulla, Edison (57219895762)","57208549951; 57204931863; 57986449100; 57986668200; 57219895762","The quantification of physico-mechanical properties and durability of onyx-travertines from Santa Ana de los Ríos de Cuenca, Ecuador","2022","Heritage Science","10","1","194","","","","4","10.1186/s40494-022-00826-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142937065&doi=10.1186%2fs40494-022-00826-y&partnerID=40&md5=1ff3e1b466a21e8f203357923ac0683c","In this study, physico-mechanical properties and durability of 4 onyx-travertines from Sinincay (Ecuador) were investigated. These onyx-travertines are commonly used for decorative purposes in buildings in the Historic Center of Santa Ana de los Ríos de Cuenca. The aim of this work was to characterize these stones and determine the variation of their physico-mechanical properties, such as mass loss and water absorption, after being subjected to four durability tests: salt crystallization (S-C), freeze–thaw (F-T), thermal shock (T-S) and acid attack (A-A). In addition, Scanning Electron Microscopic (SEM) analyses were carried out to record weathering patterns and understand the deterioration mechanism. Results show that these stones’ sedimentary structure is stratified. Two specimens exhibit geometrical features consistent with porous laminated facies and the remaining two have slightly porous cryptolaminated ones. Facies’ structure orientation is also found to determine mechanical strength, exhibiting the normal to lamination orientation the lowest value. As for durability, the statistical interpretation of the results suggests that the level of severity of each test follows S-C > F–T > A-A > T-S. In addition, laminated facies are more vulnerable to accelerated aging tests. Impact of S-C, F–T and T-S tests is mainly explained by differences in porosity and damage produced by A-A is related to the available effective area for the reaction to take place. Thus, the onyx-travertine is more than a wonderful material, it represents an interesting case study for development of future research on heritage stone in Ecuador and the world by employing normalized tests that are rarely used or published. © 2022, The Author(s).","Accelerated aging; Acid attack; Capillarity; Freezing–thawing; Onyx-travertine; Porosity; Salt crystallization; Thermal shock","","Instituto Nacional de Patrimonio Cultural; Universidad Católica de Cuenca, UCACUE","The authors would like to thank the Universidad Católica de Cuenca (Ecuador) and the Instituto Nacional de Patrimonio Cultural (Ecuador) for providing analytical instruments and facilities for the development of this article and the research project in general.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142937065"
"Serrano K.; Jaramillo M.I.H.; Gavilanes T.C.; Gavilanez Y.L.N.C.","Serrano, Karina (57210582661); Jaramillo, María Isabel Herrera (58237153700); Gavilanes, Tania Cruz (58238124200); Gavilanez, Yolanda de la N Cruz (58238124300)","57210582661; 58237153700; 58238124200; 58238124300","The Use of WhatsApp Messaging by Teachers of Medical Education as a Communication Tool at the Catholic University of Cuenca","2023","International Journal of Intelligent Systems and Applications in Engineering","11","5s","","213","219","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158091597&partnerID=40&md5=866c93ea7977920bacf41006046afb24","Technological progress in electronic devices and their applications have appeared in various areas, and instant messaging is used in the daily life of each person with a smart phone. This study focused on using WhatsApp by teachers at the Catholic University of Cuenca (UCACUE). The purpose of this study was to understand how much teachers use WhatsApp and, secondly, to find out how useful this tool is for their academic activities. It was a quantitative study that took innovative arguments in everyday life, WhatsApp and its use among higher education teachers. This study conducted a survey with a sample of 63 professors from the Catholic University of Cuenca from the faculties of Medicine, Biopharmacy and Nursing. The results obtained show intensive use of the application. WhatsApp is becoming an effective communication tool between students and teachers because a wide range of people uses it, most of them have smartphones with the WhatsApp application installed, although other options may have an application with better features than WhatsApp. From the research results, it can be concluded that WhatsApp is a widely used tool among teachers and high-level students. © 2023, Ismail Saritas. All rights reserved.","applications; Higher Education; instant messaging; Internet; wattsap","","","","Article","Final","","Scopus","2-s2.0-85158091597"
"Yamba-Yugsi M.; Atiaja L.A.; Luján-Mora S.; Eguia-Gomez J.L.","Yamba-Yugsi, Marco (57203227256); Atiaja, Lourdes Atiaja (57984006600); Luján-Mora, Sergio (6603381780); Eguia-Gomez, Jose Luis (49862968800)","57203227256; 57984006600; 6603381780; 49862968800","Determinants of the Intention to Use MOOCs as a Complementary Tool: An Observational Study of Ecuadorian Teachers","2022","Sustainability (Switzerland)","14","22","15189","","","","3","10.3390/su142215189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142670427&doi=10.3390%2fsu142215189&partnerID=40&md5=12e965aed817a732b180e902baec4987","New technological advances and globalization have undoubtedly given rise to new forms of learning. Massive Open Online Courses (MOOCs), which are a kind of evolution on e-learning, have the endorsement of prestigious universities around the world, and are transforming the traditional teaching–learning process. In Ecuador, these online courses are based on the Basic General Education system and are neither popular among students nor widely used by teachers in their teaching method, thus, this teaching system is not considered as an official qualification. The inclusion of this tool in the Ecuadorian educational system as a learning resource would expand access to equal opportunities to students and teachers from all over the country. Therefore, our proposal is to use the MOOCs as a source with all the instructional contents of the subject and as classwork based on the flipped-classroom method. In this way, such resources can be an aid to traditional high school classes, and the average grade achieved by students through this platform, as well as the student’s participation, may be part of the formal evaluation system in any institution. With the purpose of measuring the level of confidence in online education and the usage of MOOCs as a tool for teachers’ work, a descriptive and analytical approach has been taken in this study. A quantitative survey was administered to 696 Basic General Education teachers who took used this type of course. The results of this investigation show that 93.9% of the teachers trust the online education; 89% are ready to use MOOCs as a teaching–learning resource and 79% would use MOOCs as part of the final grade. These data prove that MOOCs could be a complementary tool for Basic General Education in Ecuador, so they could contribute to improve learning outcomes and the development of traditional education. © 2022 by the authors.","equality of opportunities; flipped classroom; high school education; MOOC","Ecuador; education; globalization; learning; observational method; psychology; survey method; teaching","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142670427"
"Angumba P.; Cardenas A.; Icaza D.","Angumba, Pedro (57886293900); Cardenas, Andres (57207770212); Icaza, Daniel (57193059185)","57886293900; 57207770212; 57193059185","Geothermal and Solar Energy Applied to Air Conditioning and Electricity Generation for Homes: Case study Baños in Cuenca-Ecuador","2022","10th International Conference on Smart Grid, icSmartGrid 2022","","","","407","413","6","4","10.1109/icSmartGrid55722.2022.9848548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137844842&doi=10.1109%2ficSmartGrid55722.2022.9848548&partnerID=40&md5=327a2d2ed62772c414faaaeeaa4778d0","This article presents a hybrid system composed of a photovoltaic system and use of heat emanating from volcanic sinkholes, the case of Baños in Cuenca-Ecuador is analyzed. The purpose of the study is to satisfy the simultaneous demand for electricity and thermal load to the surrounding area where there are human settlements to improve the comfort of the houses taking advantage of the special conditions of the place, this study is analyzed without connection to the public electricity network.  © 2022 IEEE.","Geothermal energy; heat demand; renewable energy; solar panel; volcanic heat","Air conditioning; Heating; Hybrid systems; Solar energy; Volcanoes; Case-studies; Ecuador; Electricity-generation; Heat demands; Human settlements; Photovoltaic systems; Renewable energies; Solar panels; Volcanic heat; Volcanics; Geothermal energy","","","Conference paper","Final","","Scopus","2-s2.0-85137844842"
"Martinez C.J.; Galmes S.","Martinez, Carlos Jose (57818816400); Galmes, Sebastia (59436135600)","57818816400; 59436135600","Analysis of the primary attacks on IoMT Internet of Medical Things communications protocols","2022","2022 IEEE World AI IoT Congress, AIIoT 2022","","","","708","714","6","7","10.1109/AIIoT54504.2022.9817252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134874706&doi=10.1109%2fAIIoT54504.2022.9817252&partnerID=40&md5=5c27883fa56e0b6511d4e78031f39ab9","Technological evolution and the current situation in the world have given rise to new emerging realities in medicine, such as point-of-care diagnosis and individualized health service without limitations such as time and place. Thanks to IoMT, new forms of contact between healthcare providers and patients have been developed using the Internet. This research aims to analyze the security of IoMT communication protocols and their limitations. For this purpose, an exhaustive review of the literature on intelligent healthcare is performed because there are many articles published in indexed journals that have addressed these issues in recent years. This review involves a bibliometric analysis of the variables Protocols, Communication, and IoMT, which bases its search on Scopus to fulfill the objective. A total of 27 documents published during the period 2015-2020 were identified as 2019, the year in which the most significant record was achieved with 11 publications; it is also established that 51.9% of the identified documents are of type Journal Article 33.3 % Conference Articles. Next, this literature is analyzed, particularly those publications emphasizing the security measures of the protocols, their vulnerabilities, and the attacks to which IoMT implementations are subjected, to make known the position of different authors regarding the subject proposed in this document. Finally, future research directions are provided to further progress in constructing theories related to the topic studied.  © 2022 IEEE.","Communication; Internet of Medical Things (IoMT); Internet of Things (IoT); protocols","Diagnosis; Health care; Internet protocols; Publishing; Bibliometrics analysis; Communications protocols; Current situation; Health care providers; Health services; Internet of medical thing; Internet of thing; New forms; Point of care; Technological evolution; Internet of things","","","Conference paper","Final","","Scopus","2-s2.0-85134874706"
"Enrique T.T.M.; Elizabeth M.C.P.; Fernando T.V.D.","Enrique, Tapia Tapia Mario (57659905800); Elizabeth, Muñoz Castro Priscila (57659905900); Fernando, Trelles Vicuña Diego (57431175400)","57659905800; 57659905900; 57431175400","Systematization of the elements that influence the effectiveness of municipal public management in the city of Cuenca-Ecuador; [Sistematización de los elementos de incidencia en la efectividad de la gestión pública municipal de la ciudad de Cuenca – Ecuador]","2022","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2022","E48","","104","117","13","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129276982&partnerID=40&md5=0cbbd2eb27202fa14c0807bf790977be","The objective of this research is to analyze the elements of incidence in the effectiveness of municipal public management in the city of Cuenca-Ecuador. In this sense, the importance of these elements is highlighted through the application of a questionnaire to citizens residing in the city of Cuenca, and then the results were analyzed through the application of the linear regression method. Finally, this study shows that the variables planning and leadership are elements that have a positive impact on the effectiveness of public management. © 2022, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","effectiveness; leadershi; planning; public management","","","","Article","Final","","Scopus","2-s2.0-85129276982"
"Pacheco-Villamar R.; Chiriboga-Calderon C.; Lopez-Chavez J.; Lopez-Fierro J.; Lopez-Fierro S.","Pacheco-Villamar, Ruben (57209531941); Chiriboga-Calderon, Carlos (57468525800); Lopez-Chavez, Joaquin (59239800600); Lopez-Fierro, Jose (58553146200); Lopez-Fierro, Sariah (57219715543)","57209531941; 57468525800; 59239800600; 58553146200; 57219715543","Challenging Traditional Polls: 2023 Ecuadorian Regional Elections, Could Shameful Votes be Uncovered Through Sentiment Analysis?","2023","Proceedings - 2023 International Conference on Computational Science and Computational Intelligence, CSCI 2023","","","","753","758","5","0","10.1109/CSCI62032.2023.00128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199986435&doi=10.1109%2fCSCI62032.2023.00128&partnerID=40&md5=294ec18cc6b3a14760e542339da297c9","Elections serve as a fundamental mechanism for citizens to express their political preferences in democratic societies. However, traditional polls have raised concerns regarding their effectiveness in capturing the complete spectrum of voter sentiment, particularly when it comes to neglected and shameful votes that often remain hidden. A shameful vote occurs when, due to indecision, fear of reproach, or stigmas associated with a candidate, voters fail to openly and honestly declare their voting intention when asked. This paper focuses on the 2023 Ecuadorian Regional Elections and explores how sentiment analysis techniques and ChatGPT can uncover shameful votes that may have been overlooked by conventional polling methods. © 2023 IEEE.","ChatGPT; Sentiment Analysis; Shameful Vote; Terms-Traditional Polls; Voter Sentiment","Analysis techniques; ChatGPT; Fundamental mechanisms; Sentiment analysis; Shameful vote; Spectra's; Term-traditional poll; Vote sentiment; Sentiment analysis","Technological Research Department of the company Soluciones Wandarina S. A.; Universidad Esp ritu Santo; ITLS department of Utah State University","This work has been supported and funded by the Technological Research Department of the company Soluciones Wandarina S. A. from Ecuador, Universidad Esp ritu Santo from Ecuador and, the ITLS department of Utah State University from USA.","Conference paper","Final","","Scopus","2-s2.0-85199986435"
"Mory-Alvarado A.; Juiz C.; Bermejo B.; Campoverde-Molina M.","Mory-Alvarado, Andrea (57205746234); Juiz, Carlos (6602910973); Bermejo, Belen (57189471344); Campoverde-Molina, Milton (57211903375)","57205746234; 6602910973; 57189471344; 57211903375","Green IT in small and medium-sized enterprises: A systematic literature review","2023","Sustainable Computing: Informatics and Systems","39","","100891","","","","15","10.1016/j.suscom.2023.100891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167408691&doi=10.1016%2fj.suscom.2023.100891&partnerID=40&md5=0574432985b8b88fef6231ce268ad4a4","Digital transformation is increasingly necessary for SMEs to take advantage of Information Technologies (IT) to innovate and keep up in the globalized market. In addition, environmental contextualization due to technology is of increasing concern to organizations. Consequently, pollution and climate change are forcing SMEs to incorporate ecological policies, strategies, and practices ranging from the protection of natural resources to renewable energy initiatives for maximum efficiency to the awareness of all stakeholders. Green IT initiatives refer to the need to reduce the impact of technology on the environment. However, the policies, strategies, practices, and models of Green IT applied in SMEs over time has to be explored to know their level of implementation. This research aims to conduct a Systematic Literature Review (SLR) to determine the practices, strategies, policies, and models of Green IT for SMEs. Several studies have been raised regarding Green IT during the last few years and are now compiled in this study. The methodology used was Kitchenham's, which allowed the extraction of 38 articles from the scientific databases IEEE Xplore, Scopus, and Web of Science. The results revealed practices, strategies, policies, and models promoting Green IT compliance in SMEs, reducing costs in companies by optimizing technological resources to environmental sustainability. © 2023","Green IT; Models; Policies; Practices; SMEs; Strategies","Energy efficiency; Energy policy; Green computing; Renewable energy resources; Sustainable development; Contextualization; Digital transformation; Forcings; Green information technology; Policy strategies; Practice; Small and medium-sized enterprise; SME; Strategy; Systematic literature review; Climate change","European Commission, EC","The publication is part of the TED2021-132695B-I00 project, financed by MCIN/AEI/10.13039/501100011033 and by the European Union “NextGenerationEU”/PRTR. ","Article","Final","","Scopus","2-s2.0-85167408691"
"Toledo-Orozco M.; Celi C.; Guartan F.; Peralta A.; Álvarez-Bel C.; Morales D.","Toledo-Orozco, Marco (57223912273); Celi, C. (57201317492); Guartan, F. (58125546800); Peralta, Arturo (56319083000); Álvarez-Bel, Carlos (57218645935); Morales, D. (56275876400)","57223912273; 57201317492; 58125546800; 56319083000; 57218645935; 56275876400","Methodology for the disaggregation and forecast of demand flexibility in large consumers with the application of non-intrusive load monitoring techniques","2023","Energy and AI","13","","100240","","","","7","10.1016/j.egyai.2023.100240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149292435&doi=10.1016%2fj.egyai.2023.100240&partnerID=40&md5=a959f0c08d1474374ced69ecf52bc345","Technological advances, innovation and the new industry 4.0 paradigm guide Distribution System Operators towards a competitive market that requires the articulation of flexible demand response systems. The lack of measurement and standardization systems in the industry process chain in developing countries prevents the penetration of demand management models, generating inefficiency in the analysis and processing of information to validate the flexibility potential that large consumers can contribute to the network operator. In this sense, the research uses as input variables the energy and power of the load profile provided by the utility energy meter to obtain the disaggregated forecast in quarter-hour intervals in 4-time windows validated through metrics and its results evaluated by the RMS error to get the total error generated by the methodology with the application of Machine Learning and Big Data techniques in the Python computational tool through Combinatorial Disaggregation Optimization and Factorial Hidden Markov models. © 2023 The Author(s)","Big data; Combinatorial optimization; Factorial hidden Markov model; Machine learning; Non-intrusive load monitoring; Time of use tariffs","Big data; Developing countries; Electric power distribution; Hidden Markov models; Information management; Machine learning; Disaggregation; Factorial hidden markov model; Hidden-Markov models; Large consumers; Machine-learning; New industry; Non-intrusive load-monitoring techniques; Nonintrusive load monitoring; Technological advances; Time-of-use tariffs; Combinatorial optimization","Universidad Politécnica Salesiana del Ecuador, UPS; Universidad Católica de Cuenca, UCACUE; Universitat Politècnica de València, UPV","This work was developed under the auspices of the Polytechnic University of Valencia (Spain), the University of Polytechnic Salesian (Cuenca -Ecuador) and the Catholic University of Cuenca (Ecuador).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149292435"
"Mory A.; Cordero D.; Astudillo S.; Serrano A.L.","Mory, Andrea (57205746234); Cordero, Diego (57789078800); Astudillo, Silvana (57200174113); Serrano, Ana Lucia (57193013241)","57205746234; 57789078800; 57200174113; 57193013241","Green IT Practices in the Business Sector","2022","Lecture Notes in Networks and Systems","236","","","773","781","8","0","10.1007/978-981-16-2380-6_68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116067458&doi=10.1007%2f978-981-16-2380-6_68&partnerID=40&md5=1e77739a624d9ca964d28a0f85a7db75","The purpose of this study is to determine the level of application that the company has in terms of green IT practices. In this context, the study begins with a theoretical conceptual review, which serves to identify the different variables involved in green computing and to support the nine research hypotheses. The relationship between the identified constructs (hypothesis) generates a model of structural equations; the operationalization of the variables results in a questionnaire with 60 indicators to determine the situational status of various businesses with regard to green information technologies; the instrument is applied to 47 informants from various organizations in the city of Cuenca in Ecuador. The model is evaluated with the software product Smart PLS; finally, with the results provided from the analysis of the model, it is concluded that “organizational strengths, policies, procedures (FO)” have a positive influence on “applications used (AP)”, “energy efficiency (EE)”, “print management and paper use (IP)” and “treatment and disposal of technological waste (RT)”. On the other hand, it is concluded that “used applications (AP)”, “energy efficiency (EE)” and “organizational strengths, policies, procedures (FO)”, “print management and paper use (IP)” and “treatment and disposal of technological waste (RT)” have no influence on “green IT in the organization (GIT)”. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Energy efficiency; Green computing; Structure equations","","","","Conference paper","Final","","Scopus","2-s2.0-85116067458"
